GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
NetflixRouletteBackend,at.fhv.netflix.handlers,AuthHandler,20,86,1,5,2,22,1,7,0,5
NetflixRouletteBackend,at.fhv.netflix.handlers,HistoryHandler,20,55,8,6,7,16,7,5,1,4
NetflixRouletteBackend,at.fhv.netflix.handlers,RecommendationHandler,4,146,4,8,2,30,4,5,0,3
NetflixRouletteBackend,at.fhv.netflix,Application,5,8,0,0,2,2,1,2,1,2
NetflixRouletteBackend,at.fhv.netflix,Application.new WebMvcConfigurerAdapter() {...},0,44,0,0,0,4,0,2,0,2
NetflixRouletteBackend,at.fhv.netflix.models,HistoryItem,9,24,0,0,3,10,3,4,3,4
NetflixRouletteBackend,at.fhv.netflix.models,History,4,11,0,0,2,3,1,2,1,2
NetflixRouletteBackend,at.fhv.netflix.models,User,0,23,0,0,0,9,0,5,0,5
NetflixRouletteBackend,at.fhv.netflix.models,Recommendation,6,27,0,0,2,11,2,5,2,5
NetflixRouletteBackend,at.fhv.netflix.endpoints,RecommendationEndpoint,5,3,0,0,1,1,1,1,1,1
NetflixRouletteBackend,at.fhv.netflix.endpoints,HistoryEndpoint,8,3,0,0,3,1,2,1,2,1
NetflixRouletteBackend,at.fhv.netflix.endpoints,AuthEndpoint,3,3,0,0,1,1,1,1,1,1
